City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,28.09,69,40,3.09,TO,1678138646
1,ixtapa,20.7,-105.2,24.57,61,0,6.17,MX,1678138646
2,puerto ayora,-0.7393,-90.3518,28.98,88,91,3.13,EC,1678138647
3,lebu,-37.6167,-73.65,17.49,84,56,4.55,CL,1678138647
4,albany,42.6001,-73.9662,6.23,51,88,0.45,US,1678138411
5,bethel,41.3712,-73.414,10.17,25,0,5.66,US,1678138647
6,busselton,-33.65,115.3333,12.28,82,0,5.41,AU,1678138648
7,bluff,-46.6,168.3333,13.22,65,100,4.19,NZ,1678138648
8,kommunisticheskiy,61.6789,64.4819,-22.28,100,96,1.78,RU,1678138648
9,thompson,55.7435,-97.8558,-16.91,55,20,2.57,CA,1678138649
10,georgetown,5.4112,100.3354,26.64,76,20,2.57,MY,1678138464
11,katsuura,35.1333,140.3,10.5,74,0,0.74,JP,1678138649
12,emerald,-23.5333,148.1667,22.41,85,32,4.08,AU,1678138650
13,hilo,19.7297,-155.09,27.36,70,0,3.09,US,1678138439
14,bubaque,11.2833,-15.8333,25.01,69,100,7.46,GW,1678138650
15,lagoa,39.05,-27.9833,15.85,92,99,12.66,PT,1678138650
16,esperance,-33.8667,121.9,14.81,63,39,2.68,AU,1678138650
17,jamestown,42.097,-79.2353,4.73,60,100,4.63,US,1678138511
18,ilam,26.9167,87.9167,14.21,55,2,2.5,NP,1678138651
19,pevek,69.7008,170.3133,-34.63,96,30,1.25,RU,1678138652
20,avarua,-21.2078,-159.775,31.03,74,40,9.26,CK,1678138652
21,damghan,36.1683,54.348,14.86,28,41,1.72,IR,1678138652
22,saint-philippe,-21.3585,55.7679,25.77,87,97,4.38,RE,1678138653
23,tiksi,71.6872,128.8694,-23.55,98,100,2.31,RU,1678138653
24,cape town,-33.9258,18.4232,18.95,76,20,9.77,ZA,1678138591
25,mar del plata,-38.0023,-57.5575,30.46,73,20,5.14,AR,1678138653
26,arraial do cabo,-22.9661,-42.0278,25.98,78,40,5.14,BR,1678138654
27,port alfred,-33.5906,26.891,18.99,93,49,1.79,ZA,1678138654
28,olafsvik,64.8945,-23.7142,-2.97,59,91,5.09,IS,1678138654
29,richards bay,-28.783,32.0377,23.15,91,100,1.33,ZA,1678138655
30,mao,39.8885,4.2658,9.31,100,0,1.54,ES,1678138655
